registro;;;uo;;numero_empenho;;data_nap;numero_nap;valor_item_empenho;
10;39728;1;1181;1;14849;6122023;6122023;37353;674924,55;2582914606
11;39728;2500000;0;674924,55;;;;;;
10;39613;1;1131;1;4014;22032023;6122023;37356;1757,16;1463827652
11;39613;1600000;0;1757,16;;;;;;
10;39722;1;1181;1;14846;6122023;6122023;37357;323056,66;2582914606
11;39722;1500000;0;323056,66;;;;;;
10;39618;1;1151;1;11138;20092023;6122023;37359;299816,32;18606121649
11;39618;1500000;0;299816,32;;;;;;
10;39724;1;1181;1;14848;6122023;6122023;37360;250758,52;2582914606
11;39724;2500000;0;250758,52;;;;;;
10;39620;1;1131;1;14856;6122023;6122023;37361;1534,50;1463827652
11;39620;2600000;0;1534,5;;;;;;
10;39621;1;1151;1;11111;19092023;6122023;37362;106132,33;18606121649
11;39621;1500000;0;106132,33;;;;;;
10;39622;1;1061;1;12161;4102023;6122023;37364;10272,00;1263146678
11;39622;1500000;0;10272;;;;;;
10;39623;1;1061;1;13655;14112023;6122023;37365;3899,99;1263146678
11;39623;1500000;0;3899,99;;;;;;
10;40800;1;1131;1;11619;25092023;11122023;37996;1459,63;1463827652
11;40800;1600000;0;1459,63;;;;;;
10;40108;1;1131;1;12209;6102023;11122023;37997;1024,00;1463827652
11;40108;1600000;0;1024;;;;;;
10;40109;1;1131;1;11308;21092023;11122023;37999;1615,02;1463827652
11;40109;1600000;0;1615,02;;;;;;
10;40110;1;1041;1;14961;11122023;11122023;38000;48552,18;7080739640
11;40110;1501000;0;48552,18;;;;;;
10;40113;1;1131;1;4626;30032023;11122023;38002;2375,10;1463827652
11;40113;1600000;0;2375,1;;;;;;
10;40269;1;1131;1;9607;10082023;11122023;38005;171695,05;1463827652
11;40269;1500000;1002;171695,05;;;;;;
10;40115;1;1061;1;12223;6102023;11122023;38006;699,23;1263146678
11;40115;1500000;0;699,23;;;;;;
10;40116;1;1061;1;12223;6102023;11122023;38007;854,56;1263146678
11;40116;1500000;0;854,56;;;;;;
10;40117;1;1061;1;12223;6102023;11122023;38008;3117,30;1263146678
11;40117;1500000;0;3117,3;;;;;;
10;40118;1;1061;1;12223;6102023;11122023;38009;537,60;1263146678
11;40118;1500000;0;537,6;;;;;;
10;40119;1;1131;1;11313;21092023;11122023;38010;1345,58;1463827652
11;40119;1600000;0;1345,58;;;;;;
10;40120;1;1131;1;11314;21092023;11122023;38011;2263,05;1463827652
11;40120;1600000;0;2263,05;;;;;;
10;40121;1;1131;1;4624;30032023;11122023;38012;3069,85;1463827652
11;40121;1500000;1002;3069,85;;;;;;
10;41077;1;1211;1;14928;8122023;19122023;38013;6272,65;501953604
11;41077;1500000;0;6272,65;;;;;;
10;40123;1;1151;1;4666;30032023;11122023;38017;425872,89;18606121649
11;40123;1754000;0;425872,89;;;;;;
10;40124;1;1151;1;8200;30062023;11122023;38019;64368,72;18606121649
11;40124;1500000;0;64368,72;;;;;;
10;40125;1;1123;1;14964;11122023;11122023;38022;15425,00;29703905668
